Taxonomy	Netting	Decoy	Noise	Ultrason	Cannon	Reflect	Laser	Spike	Habitat	Lethal	Other
Raptor	2	3	0	0	0	4	0	0	0	0	0
Goose	0	1	0	0	1	0	0	0	0	0	0
Crow	1	0	1	0	1	2	1	0	0	2	1
Pigeon	0	0	0	0	0	1	0	0	0	0	0
Songbird	4	3	1	0	0	5	0	0	0	0	0
Bombycillidae	0	0	1	0	0	1	0	0	0	0	0
Cardinalidae	1	0	0	0	0	1	0	0	0	0	0
Hirundinidae	1	0	0	0	0	0	0	0	0	0	0
Mimidae	2	2	0	0	0	2	0	0	0	0	0
Sturnidae	1	1	0	0	0	1	0	0	0	0	0
Turdidae	0	0	0	0	0	1	0	0	0	0	0
Total	7	6	3	0	2	10	1	0	0	3	1
TotalProp	31.81818182	27.27272727	13.63636364	0	9.090909091	45.45454545	4.545454545	0	0	13.63636364	4.545454545
