Farm	MODO	CHSP	BARS	NOCA	NOMO	RSHA	CARW	TUTI	HOFI	WEVI	DOWO	AMCR	BLJA	CHSW	EAKI	EUCD	RWBL	EAPH	FISP	BLGR	RTHA	EABL	AMGO	BRTH	EATO	YTVI	KILL	RBWO	ROPI	SOSP	EUST	CACH	PIWA	COGR	HOSP	NRWS	EAME	NOPA	INBU	CGDO	BLVU	PIWO	TRSW	AMRO	CAEG	PABU	RTHU
1	1	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.666666667	0	0.333333333	0.333333333	0.333333333	0	0.333333333	0.333333333	0.666666667	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0.5	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0.5	0	1	0.5	0.5	0	0	0	1	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	1	0	0	0	0	0	0.25	0	0	0	0	0.75	0.25	0.75	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	0.25	0	0.5	0	0.75	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	0.2	1.4	0.8	0.4	0.6	0	0.4	0.2	1.2	0.2	0	0.6	0	0	0	0	0	1.2	0.6	0.2	0.2	0.6	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0.666666667	0.333333333	2	0.666666667	0	1	0	2.333333333	0	0	0.333333333	0.333333333	0	0	0	0	0.666666667	0	0.333333333	0	0	0	0	0.333333333	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	0.666666667	0.666666667	0	2.666666667	0.666666667	0	0.666666667	0	0	0.666666667	0.333333333	1	0	0	0	0.333333333	0	0.666666667	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	0.5	0.5	1.5	0	1.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	1	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0.333333333	1	0.333333333	1.333333333	1.333333333	0	0.666666667	0.333333333	4	0	0	0	1	0	0	0	0	0.333333333	0	0.333333333	0	1	0	0.333333333	0	0	0	0.666666667	0.666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	1.375	1.625	0.5	0.625	1	0	0.875	0.25	1.875	0	0.25	0	0.375	0	0	0	0	0.5	0	0	0	0.625	0.25	0	0.5	0	0.125	0	0	0.25	0.875	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	0.5	0	0	0	0.5	0.5	1	0	0	0	0.5	2	1	0	0	0	0	1.5	0	0	0	3	0.5	0	1	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	1	1.25	0.5	0.5	0.5	0	0.25	0	0	0	0	0	0	0.25	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0.25	0	0.25	2.25	0.25	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0
29	1	1	0.5	1.5	0.5	0	1	0.5	0.5	1	0	0	0.5	0	0	0.5	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	0.5	0	1	0.5	0.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
31	0	1	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0
33	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ET1	0.333333333	0.416666667	1.333333333	0	0	0	0	0	0	0.125	0	0	0.25	0	0	0	0	0.125	0.375	0	0	0	0.125	0.125	0.125	0.125	0	0	0	1.041666667	0	0.083333333	0	0	0	0	0	0	0.208333333	0	0	0	0	0	0	0	0
JO1	0.666666667	0	0	0	0	0	0	0	0.666666667	0	0	0	0	0	0	0	0.666666667	0	0	0	0	0.666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.333333333	0	0	0	0	0	0	0
JO2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JO3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
JO4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JU1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JU2	0	0	0	0	0	0	0.5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0.5	0	0	0	0	0
JU3	0.5	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JU4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LA1	2.5	0	1.5	0	1.5	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
ShelS	0.125	0.25	0.375	0	0	0	0.125	0	0.125	0	0	0	0	0	0	0	0.125	0.25	0	0.375	0	0.125	0	0	0.5	0	0.375	0	0	2.375	0	0	0	0	0	0	0.375	0	0.125	0	0	0	0.125	0	0	0	0
